time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2023-09-18 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-09-18 09:30:00-04:00,sell,fill,172.0,SPY,stock,,0.0,,443.04998779296875,market,1,0.0
2023-09-19 09:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-09-19 09:30:00-04:00,buy,fill,173.0,SPY,stock,,0.0,,442.67999267578125,market,1,0.0
2023-09-20 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-09-20 09:30:00-04:00,sell,fill,173.0,SPY,stock,,0.0,,444.010009765625,market,1,0.0
2023-11-07 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-11-07 09:30:00-05:00,buy,fill,235.0,SPY,stock,,0.0,,435.69000244140625,market,1,0.0
2023-11-10 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-11-10 09:30:00-05:00,sell,fill,235.0,SPY,stock,,0.0,,435.9800109863281,market,1,0.0
2023-12-08 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-12-08 09:30:00-05:00,buy,fill,168.0,SPY,stock,,0.0,,457.4599914550781,market,1,0.0
2023-12-14 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-12-14 09:30:00-05:00,sell,fill,168.0,SPY,stock,,0.0,,472.5,market,1,0.0
2023-12-22 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-12-22 09:30:00-05:00,buy,fill,166.0,SPY,stock,,0.0,,473.8599853515625,market,1,0.0
